,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err,est_beta
21,21.0,24866393.9325149,364.99605652865597,288.1714285714286,3847.9,0.00023355472451017713,0.8285714285714221,0.00023355472451017713
22,22.0,24866334.95207813,364.97649329684907,334.07142857142856,3861.0,0.00014097251827045734,5.928571428571445,0.00014097251827045734
23,23.0,24866279.96724941,364.9613220212277,374.57142857142856,3875.5,8.508226214845578e-05,10.428571428571445,8.508226214845578e-05
24,24.0,24866236.97859213,364.9499792968517,403.37142857142857,3889.7,5.1347430337586334e-05,13.628571428571433,5.1347430337586334e-05
25,25.0,24866191.9859964,364.94257502821563,434.87142857142857,3903.2,3.09872747282e-05,17.128571428571433,3.09872747282e-05
26,26.0,24866150.99100707,364.93756435864753,460.97142857142853,3918.1,1.86998872352955e-05,20.028571428571468,1.86998872352955e-05
27,27.0,24866113.99424592,364.93432550738214,487.07142857142856,3929.0,1.1284676756165123e-05,22.928571428571445,1.1284676756165123e-05
28,28.0,24866069.996282555,364.9322888717526,519.4714285714285,3940.6,6.80982511354444e-06,26.528571428571468,6.80982511354444e-06
29,29.0,24866026.997617003,364.93095442714684,550.0714285714286,3953.0,4.1094225740075605e-06,29.928571428571445,4.1094225740075605e-06
30,30.0,24865999.99852478,364.93004664562756,563.5714285714286,3966.5,2.479844470924042e-06,31.428571428571445,2.479844470924042e-06
31,31.0,24865974.999084342,364.92948708565837,578.8714285714285,3976.2,1.4964677442960076e-06,33.12857142857149,1.4964677442960076e-06
32,32.0,24865935.99947092,364.92910050797155,555.4714285714285,4038.6,9.030459285164949e-07,30.528571428571468,9.030459285164949e-07
33,33.0,24865899.99967582,364.9288956052647,563.5714285714286,4066.5,5.449442236006243e-07,31.428571428571445,5.449442236006243e-07
34,34.0,24865870.99980536,364.92876606677055,560.8714285714285,4098.2,3.288471698651515e-07,31.12857142857149,3.288471698651515e-07
35,35.0,24865824.99987342,364.928698009479,602.2714285714286,4102.8,1.9844312958221748e-07,35.7285714285714,1.9844312958221748e-07
36,36.0,24865781.999922656,364.9286487716036,609.4714285714285,4138.6,1.1975067455109677e-07,36.52857142857147,1.1975067455109677e-07
37,37.0,24865754.999951378,364.9286200519503,633.7714285714286,4141.3,7.226364011260171e-08,39.2285714285714,7.226364011260171e-08
38,38.0,24865740.999972053,364.92859937521786,604.9714285714285,4184.1,4.360754916631041e-08,36.02857142857147,4.360754916631041e-08
39,39.0,24865683.999981634,364.92858979259876,656.2714285714286,4189.8,2.6315008287469268e-08,41.7285714285714,2.6315008287469268e-08
40,40.0,24865662.999989346,364.92858208168326,631.9714285714285,4235.1,1.5879811228474664e-08,39.02857142857147,1.5879811228474664e-08
41,41.0,24865647.999993745,364.9285776847438,615.7714285714286,4266.3,9.582683736994525e-09,37.2285714285714,9.582683736994525e-09
42,42.0,24865624.999996092,364.9285753368331,636.4714285714285,4268.6,5.782677494678656e-09,39.52857142857147,5.782677494678656e-09
43,43.0,24865557.999997713,364.9285737172322,618.4714285714285,4353.6,3.489560940860727e-09,37.52857142857147,3.489560940860727e-09
44,44.0,24865537.999998633,364.92857279703236,613.0714285714286,4379.0,2.1057780833479824e-09,36.928571428571445,2.1057780833479824e-09
45,45.0,24865515.9999993,364.92857212859406,523.9714285714285,4490.1,1.2707333114882994e-09,27.028571428571468,1.2707333114882994e-09
