Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
167,24869580,336.8571429,93.28571429,884.8571429,8.43E-18,-53.28571429
168,24869579,336.8571429,94.21428571,884.9285714,6.54E-18,-53.21428571
169,24869573,336.8571429,97.92857143,887.2142857,5.08E-18,-52.92857143
170,24869573,336.8571429,92.35714286,892.7857143,3.94E-18,-53.35714286
171,24869563,336.8571429,97.92857143,897.2142857,3.06E-18,-52.92857143
172,24869560,336.8571429,97.92857143,900.2142857,2.38E-18,-52.92857143
173,24869555,336.8571429,96.07142857,907.0714286,1.85E-18,-53.07142857
174,24869554,336.8571429,94.21428571,909.9285714,1.43E-18,-53.21428571
175,24869552,336.8571429,92.35714286,913.7857143,1.11E-18,-53.35714286
176,24869548,336.8571429,91.42857143,918.7142857,8.63E-19,-53.42857143
177,24869536,336.8571429,102.5714286,919.5714286,6.70E-19,-52.57142857
178,24869534,336.8571429,103.5,920.6428571,5.20E-19,-52.5
179,24869530,336.8571429,96.07142857,932.0714286,4.04E-19,-53.07142857
180,24869528,336.8571429,100.7142857,929.4285714,3.14E-19,-52.71428571
181,24869527,336.8571429,97.92857143,933.2142857,2.43E-19,-52.92857143
182,24869527,336.8571429,97.92857143,933.2142857,1.89E-19,-52.92857143
183,24869525,336.8571429,97,936.1428571,1.47E-19,-53
